;4. kvartal 2017;4. kvartal 2016 - 4. kvartal 2017;
Absolutte tall;Prosentvis endring;
Østfold;128810;1,9;
Akershus;290941;1,8;
Oslo;504665;3,0;
Hedmark;93532;1,8;
Oppland;92851;0,7;
Buskerud;136258;1,9;
Vestfold;114721;2,1;
Telemark;80325;1,3;
Aust-Agder;51554;1,8;
Vest-Agder;94476;1,6;
Rogaland;253618;1,6;
Hordaland;278135;1,6;
Sogn og Fjordane;59836;1,0;
Møre og Romsdal;137756;0,1;
Sør-Trøndelag;179587;2,7;
Nord-Trøndelag;67848;1,4;
Nordland;127042;1,3;
Troms - Romsa;93799;1,9;
Finnmark - Finnmárku;40862;1,2;
Uoppgitt fylke;5960;-10,1;
Ikke Fastlands-Norge;21919;-1,2;
